Header,Date,Description,Link
Education UK Alumni awards 2016 announced in Saudi Arabia, 13 September 2015 ,UK’s package of support to help locate missing Nigerian school girls welcomed by President Jonathan.,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/education-uk-alumni-awards-2016-announced-in-saudi-arabia"",""more details"")"
British schools overseas: inspection reports,  9 March 2016 ,The Cross-Government Prosperity Fund promotes the economic reform and development needed for growth in partner countries.,"=HYPERLINK(""https://www.gov.uk/government/publications/british-schools-overseas-inspection-reports"",""more details"")"
New funds to help tackle causes of migration, 12 November 2015 ,The awards celebrate the UK Alumni in Saudi Arabia,"=HYPERLINK(""https://www.gov.uk/government/news/new-funds-to-help-tackle-causes-of-migration"",""more details"")"
Opportunity for increased cooperation with Nigeria, 30 July 2012 ,Inspection reports of British schools overseas that meet DfE accreditation standards and that are registered on Edubase.,"=HYPERLINK(""https://www.gov.uk/government/speeches/opportunity-for-increased-cooperation-with-nigeria"",""more details"")"
Girls and women are vital to progress in Nigeria, 15 May 2013 ,"Prime Minister announces £200 million to help tackle causes of migration, and £2 million UK contribution to the EU’s Africa Trust Fund.","=HYPERLINK(""https://www.gov.uk/government/news/girls-and-women-are-vital-to-progress-in-nigeria"",""more details"")"
Foreign Office Minister to visit Nigeria, 13 May 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/foreign-office-minister-to-visit-nigeria"",""more details"")"
British High Commission Abuja hosts Chevening Scholars Class 2012/13, 18 February 2014 ,Minister for Africa Henry Bellingham spoke at the High Level Business and Investment Summit on Nigeria.,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/british-high-commission-abuja-hosts-chevening-scholars-class-201213"",""more details"")"
2010 to 2015 government policy: women and girls in developing countries,  8 May 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/publications/2010-to-2015-government-policy-women-and-girls-in-developing-countries"",""more details"")"
Armed Forces Day celebrated across the country, 25 June 2016 ,Lynne Featherstone launches a new programme to improve the prospects of girls and women in Nigeria,"=HYPERLINK(""https://www.gov.uk/government/news/armed-forces-day-celebrated-across-the-country"",""more details"")"
National Inter-Faith Dialogue,  1 March 2016 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/national-inter-faith-dialogue"",""more details"")"
Header,Date,Description,Link
Funding opportunity for projects to support development activity in Nigeria, 11 June 2015 ,We are pleased to invite NGO’s/Civil Society and development partners to submit project proposals,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/funding-opportunity-for-projects-to-support-development-activity-in-nigeria"",""more details"")"
Household Poverty and School Choice in Low-income Areas of Lagos: a qualitative case study approach,  1 January 2014 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/household-poverty-and-school-choice-in-low-income-areas-of-lagos-a-qualitative-case-study-approach"",""more details"")"
Foreign Secretary announces UK support following Ministerial on Boko Haram, 12 June 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/foreign-secretary-announces-uk-support-following-ministerial-on-boko-haram"",""more details"")"
Africa Security Speech, 16 October 2015 ,Foreign Secretary William Hague welcomes agreements reached at London Ministerial on security in Nigeria.,"=HYPERLINK(""https://www.gov.uk/government/speeches/africa-security-speech"",""more details"")"
HRH The Duke of Gloucester visits UKaid projects in Lagos,  5 October 2010 ,Grant Shapps speech at the Royal United Services Institute on Africa and security,"=HYPERLINK(""https://www.gov.uk/government/news/hrh-the-duke-of-gloucester-visits-ukaid-projects-in-lagos"",""more details"")"
Chevening Scholars from Nigeria for 2013/14, 30 August 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/chevening-scholars-from-nigeria-for-201314"",""more details"")"
Nigeria: Ibori jailed in fight against corruption, 17 April 2012 ,HRH The Duke of Gloucester visits two UKaid projects in Lagos as part of his visit to join Nigeria in celebrating 50 years of independence.,"=HYPERLINK(""https://www.gov.uk/government/news/nigeria-ibori-jailed-in-fight-against-corruption"",""more details"")"
2010 to 2015 government policy: water and sanitation in developing countries,  8 May 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/publications/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries"",""more details"")"
Greening: Tax generation key to ending poverty, 15 July 2015 ,"Some of this years Chevening scholars for Nigeria, share their thoughts on what it means to them and their careers.","=HYPERLINK(""https://www.gov.uk/government/news/greening-tax-generation-key-to-ending-poverty"",""more details"")"
Minister for Africa gives keynote address at Nigerian Centenary, 27 February 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/minister-for-africa-gives-keynote-address-at-nigerian-centenary"",""more details"")"
"The UK Prosperity Agenda – growth, open markets and good governance", 17 February 2011 ,DFID is leading the process to return the millions of pounds stolen to the country’s poorest people,"=HYPERLINK(""https://www.gov.uk/government/speeches/the-uk-prosperity-agenda-growth-open-markets-and-good-governance"",""more details"")"
1GOAL: Education For All campaign, 11 June 2010 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/1goal-education-for-all-campaign"",""more details"")"
UK's fight against corruption boosts world's poorest people, 27 February 2012 ,"How we're providing people with access to clean drinking water, effective sanitation and basic hygiene education to help save thousands of lives.","=HYPERLINK(""https://www.gov.uk/government/news/uks-fight-against-corruption-boosts-worlds-poorest-people"",""more details"")"
Bulgarian school delegation visits Liverpool, 30 April 2013 ,"Tax generation, economic growth and job creation will be crucial to end extreme poverty over the next 15 years, Justine Greening has said at a major development conference in Ethiopia.","=HYPERLINK(""https://www.gov.uk/government/world-location-news/bulgarian-school-delegation-visits-liverpool"",""more details"")"
Discovery Communications teams up with UK government to give girls an education, 11 October 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/discovery-communications-teams-up-with-uk-government-to-give-girls-an-education"",""more details"")"
FCO Minister opens Seminar on Freedom of Religion and Economic Prosperity,  2 March 2016 ,"Mark Simmonds spoke on 'African choices in a new  Nigerian century.' 
 
 
 

","=HYPERLINK(""https://www.gov.uk/government/speeches/fco-minister-opens-seminar-on-freedom-of-religion-and-economic-prosperity"",""more details"")"
Minister for Africa Speech at Global Africa Investment Summit,  2 December 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/minister-for-africa-speech-at-global-africa-investment-summit"",""more details"")"
Justine Greening: Education World Forum, 30 January 2015 ,The UK Government firmly believes that open and free trade is the way to increase global wealth. I want to see British businesses making the most of opportunities in Africa.,"=HYPERLINK(""https://www.gov.uk/government/speeches/justine-greening-education-world-forum"",""more details"")"
The Queen's Baton Relay arrives Cameroon,  8 January 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/the-queens-baton-relay-arrives-cameroon"",""more details"")"
DFID Annual Report and Accounts 2014-15 Results achieved by sector: Governance and security, 16 July 2015 ,More than 8 million people have signed up to make the World Cup a lasting legacy,"=HYPERLINK(""https://www.gov.uk/government/publications/dfid-annual-report-and-accounts-2014-15-results-achieved-by-sector-governance-and-security"",""more details"")"
Header,Date,Description,Link
“An estimated 20 million people will endure the pains from food insecurity this year”, 19 June 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/an-estimated-20-million-people-will-endure-the-pains-from-food-insecurity-this-year"",""more details"")"
Girl Summit anniversary: one year on, 23 July 2015 ,"UK Statement by Ambassador Wilson of the UK Mission to the UN, to the UN Security Council Meeting on the Sahel ","=HYPERLINK(""https://www.gov.uk/government/speeches/girl-summit-anniversary-one-year-on"",""more details"")"
Educating one million girls to tackle poverty, 19 September 2011 ,"Speech by Justine Greening at Canada House, marking one year on since Girl Summit 2014 and reflecting on the progress made.","=HYPERLINK(""https://www.gov.uk/government/news/educating-one-million-girls-to-tackle-poverty"",""more details"")"
Grant Shapps: Energy Africa - kick-starting a solar revolution across the continent, 23 October 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/grant-shapps-energy-africa-kick-starting-a-solar-revolution-across-the-continent"",""more details"")"
Immigration Statistics: October to December 2012, 28 February 2013 ,"Britain will help up to a million of the poorest girls in the world go to school, through the Girls Education Challenge.","=HYPERLINK(""https://www.gov.uk/government/statistics/immigration-statistics-october-to-december-2012"",""more details"")"
British accountants to develop accountancy expertise in Africa and Asia, 10 April 2014 ,"Speech by the Development Minister at the launch of Britain's #EnergyAfrica campaign, held at Facebook UK's headquarters in London.","=HYPERLINK(""https://www.gov.uk/government/news/british-accountants-to-develop-accountancy-expertise-in-africa-and-asia"",""more details"")"
Home Secretary: International action needed to tackle terrorism, 16 February 2016 ,"This release presents the latest immigration statistics from Home Office administrative sources, October to December 2012.","=HYPERLINK(""https://www.gov.uk/government/speeches/home-secretary-international-action-needed-to-tackle-terrorism"",""more details"")"
"Immigration statistics, July to September 2012",  3 October 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/statistics/immigration-statistics-july-to-september-2012"",""more details"")"
UK helps educate an extra 3.5 million children,  8 November 2011 ,The UK will help improve financial management and investment climates of developing countries by sharing British expertise and international best practice.,"=HYPERLINK(""https://www.gov.uk/government/news/uk-helps-educate-an-extra-3-5-million-children"",""more details"")"
"UK's Africa Policy: High Commissioner's speech at Legon Center for International Affairs and Diplomacy, University of Ghana", 27 August 2015 ,Theresa May calls for successful cooperation on national security,"=HYPERLINK(""https://www.gov.uk/government/speeches/uks-africa-policy-high-commissioners-speech-at-legon-center-for-international-affairs-and-diplomacy-university-of-ghana"",""more details"")"
Prime Minister’s Trade Envoy David Heath CBE MP visits Angola, 20 February 2015 ,"This release presents the latest immigration statistics from Home Office administrative sources covering quarter 3, July to September 2012.","=HYPERLINK(""https://www.gov.uk/government/world-location-news/prime-ministers-trade-envoy-david-heath-cbe-mp-visits-angola"",""more details"")"
Department for International Development – Petitions and campaigns, 16 November 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/organisations/department-for-international-development/about/petitions-and-campaigns"",""more details"")"
Secretary of State offers an insight into UK defence thinking,  5 February 2016 ,"Britain will help millions more children access quality education in a major global drive to tackle illiteracy
","=HYPERLINK(""https://www.gov.uk/government/speeches/secretary-of-state-offers-an-insight-into-uk-defence-thinking"",""more details"")"
Olympic Roundup - Wednesday 1 August,  3 August 2012 ,A speech by the British High Commissioner on the subject of the UK’s Africa Policy,"=HYPERLINK(""https://www.gov.uk/government/news/olympic-roundup-wednesday-1-august"",""more details"")"
New Indo-UK partnership in Andhra Pradesh, 18 February 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/new-indo-uk-partnership-in-andhra-pradesh"",""more details"")"
Report warns of hidden hunger crisis, 15 February 2012 ,"
David Heath CBE MP visit to demonstrate UK’s support for economic  diversification in Angola.
","=HYPERLINK(""https://www.gov.uk/government/news/report-warns-of-hidden-hunger-crisis"",""more details"")"
"Vince Cable speech: Global Investment Conference, Lancaster House, London, July 26", 26 July 2012 ,See how we have responded to your campaign letters and activities.,"=HYPERLINK(""https://www.gov.uk/government/news/vince-cable-speech-global-investment-conference-lancaster-house-london-july-26"",""more details"")"
International crack down on human trafficking, 25 October 2012 ,"Speech by Michael Fallon, Secretary of State for Defence.","=HYPERLINK(""https://www.gov.uk/government/news/international-crack-down-on-human-trafficking"",""more details"")"
DFID research: New report from IFPRI shows agricultural research and development in Africa hindered by significant challenges, 14 April 2011 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/dfid-research-new-report-from-ifpri-shows-agricultural-research-and-development-in-africa-hindered-by-significant-challenges"",""more details"")"
Trustee of the Kennedy Memorial Trust,  1 July 2011 ,Today's look at Foreign Office activity and the events taking place in and around the London 2012 Olympic Games.,"=HYPERLINK(""https://www.gov.uk/government/news/trustee-of-the-kennedy-memorial-trust"",""more details"")"
Header,Date,Description,Link
Thai participant joins Future International Leaders Programme, 12 April 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/thai-participant-joins-future-international-leaders-programme"",""more details"")"
Angola defence and security mission, 27 November 2014 ,Participant from Thailand among 12 nations in first FCO Future International Leaders Programme,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/uk-trade-envoy-david-heath-cbe-mp-visits-angola"",""more details"")"
Nick Clegg speech on international development, 28 May 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/nick-clegg-speech-on-international-development"",""more details"")"
"DFID Annual Report and Accounts 2014-15 Results achieved by sector: Poverty, vulnerability, nutrition and hunger", 16 July 2015 ,"David Heath MP led the first UK defence and security trade mission to Luanda, Angola.","=HYPERLINK(""https://www.gov.uk/government/publications/dfid-annual-report-and-accounts-2014-15-results-achieved-by-sector-poverty-vulnerability-nutrition-and-hunger"",""more details"")"
Human trafficking gangs targeted by UK government, 18 October 2012 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/human-trafficking-gangs-targeted-by-uk-government--5"",""more details"")"
Building Youth Life Skills through Football, 10 June 2013 ,"The Deputy Prime Minister gave a speech on international development in Shoreditch, London, hosted by the Omidyar Network. ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/building-youth-life-skills-through-football"",""more details"")"
RUSI Land Warfare Conference 2015,  1 July 2015 ,"DFID Annual Report and Accounts 2014-15 Results achieved by sector: Poverty, vulnerability, nutrition and hunger.","=HYPERLINK(""https://www.gov.uk/government/speeches/rusi-land-warfare-conference-2015"",""more details"")"
HMS Portland visits South Africa on her 2014 deployment,  9 April 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/hms-portland-visits-south-africa-on-her-2014-deployment"",""more details"")"
Foreign Secretary attends EU-Africa Summit,  7 April 2014 ,"Gangs that lure victims to the UK and then exploit them for sex, labour and domestic slavery are being targeted following action by the government.","=HYPERLINK(""https://www.gov.uk/government/news/foreign-secretary-attends-eu-africa-summit"",""more details"")"
Launch of new anti-corruption group in Afghanistan, 18 May 2011 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/launch-of-new-anti-corruption-group-in-afghanistan"",""more details"")"
Against Corruption: a collection of essays, 12 May 2016 ,Joint projects aimed to support and develop the skills of disadvantaged youth through football,"=HYPERLINK(""https://www.gov.uk/government/publications/against-corruption-a-collection-of-essays"",""more details"")"
Water: World meets target on safe drinking supplies,  6 March 2012 ,"Speech by Michael Fallon, Secretary of State for Defence.
","=HYPERLINK(""https://www.gov.uk/government/news/water-world-meets-target-on-safe-drinking-supplies"",""more details"")"
MDG Countdown 2013, 20 September 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/mdg-countdown-2013"",""more details"")"
The Queen's Baton Relay in Cameroon: High Commissioner's speech, 10 January 2014 ,HMS Portland’s visit forms part of the broader United Kingdom and South Africa bilateral relationship,"=HYPERLINK(""https://www.gov.uk/government/speeches/the-queens-baton-relay-in-cameroon-high-commissioners-speech"",""more details"")"
International Climate Fund,  2 October 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/publications/international-climate-fund"",""more details"")"
Closing in on a world without polio,  7 May 2014 ,"EU and Africa agree to work together on peace and security, trade and investment and development.  ","=HYPERLINK(""https://www.gov.uk/government/news/closing-in-on-a-world-without-polio"",""more details"")"
"""To provide the world’s children with a safer future, we must spare no effort""",  8 September 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/to-provide-the-worlds-children-with-a-safer-future-we-must-spare-no-effort--2"",""more details"")"
Human trafficking gangs targeted by UK government, 18 October 2012 ,An independent Monitoring and Evaluation Committee (MEC) to tackle corruption in Afghanistan has been launched in Kabul.,"=HYPERLINK(""https://www.gov.uk/government/news/human-trafficking-gangs-targeted-by-uk-government--4"",""more details"")"
Interesting times, 16 December 2015 ,"Leading politicians, activists, journalists and academics begin a global debate about how we can fight back against corruption.","=HYPERLINK(""https://www.gov.uk/government/speeches/interesting-times"",""more details"")"
Overseas Business Risk - Cote D'Ivoire,  9 June 2016 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/publications/overseas-business-risk-cote-divoire"",""more details"")"
Header,Date,Description,Link
UK push to wipe out Guinea worm disease,  5 October 2011 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/uk-push-to-wipe-out-guinea-worm-disease"",""more details"")"
Greening: Supporting growth and jobs in Africa can beat poverty, 26 April 2014 ,Britain is backing the Carter Center in a new project that will see the end of Guinea worm within this decade,"=HYPERLINK(""https://www.gov.uk/government/news/greening-supporting-growth-and-jobs-in-africa-can-beat-poverty"",""more details"")"
"UK-Caribbean Ministerial Forum,  ""A Partnership for Prosperity""", 24 June 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/uk-caribbean-ministerial-forum-a-partnership-for-prosperity"",""more details"")"
Foreign Secretary statement on Iraq and Ending Sexual Violence Summit, 16 June 2014 ,"Development agencies must invest more in supporting Africa's growth, International Development Secretary Justine Greening has said.","=HYPERLINK(""https://www.gov.uk/government/speeches/foreign-secretary-statement-on-iraq-and-ending-sexual-violence-summit"",""more details"")"
Overseas Business Risk - Algeria, 13 July 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/publications/overseas-business-risk-algeria"",""more details"")"
Delegation of prominent British Muslims to visit India,  9 December 2013 ,"We, the Foreign Ministers and representatives of the United Kingdom (UK) and Caribbean governments met at Lancaster House in London on 16 and 17 June 2014 for the eighth UK-Caribbean Ministerial Forum under the theme ""A Part…","=HYPERLINK(""https://www.gov.uk/government/world-location-news/delegation-of-prominent-british-muslims-to-visit-india"",""more details"")"
Plans for India network of British business centres unveiled, 15 March 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/plans-for-india-network-of-british-business-centres-unveiled"",""more details"")"
UK celebrates Commonwealth Day, 14 March 2011 ,Foreign Secretary William Hague gives statement to Parliament on Iraq and Ending Sexual Violence Summit.,"=HYPERLINK(""https://www.gov.uk/government/news/uk-celebrates-commonwealth-day--3"",""more details"")"
The future of UK aid,  1 March 2011 ,See below for information on key security and political risks which UK businesses may face when operating in Algeria,"=HYPERLINK(""https://www.gov.uk/government/news/the-future-of-uk-aid"",""more details"")"
Business: UK impact investments to boost development,  7 December 2012 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/business-uk-impact-investments-to-boost-development"",""more details"")"
Overseas Business Risk - Cameroon, 25 August 2015 ,"A delegation of prominent British Muslims is to visit Surat, Vadodara, New Delhi, Deoband and Aligarh 9-15 December 2013. ","=HYPERLINK(""https://www.gov.uk/government/publications/cameroon-overseas-business-risk"",""more details"")"
UK and Brazil in Partnership with Africa for Prosperity, 19 February 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/uk-and-brazil-in-partnership-with-africa-for-prosperity"",""more details"")"
Plans for India network of British business centres unveiled, 15 March 2013 ,Plans to develop British business networks in high growth and emerging markets took a further step forward today.,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/plans-for-india-network-of-british-business-centres-unveiled--2"",""more details"")"
Plans for India network of British business centres unveiled, 15 March 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/plans-for-india-network-of-british-business-centres-unveiled"",""more details"")"
Commonwealth contribution to First World War to be commemorated,  8 November 2013 ,The UK Government today marked Commonwealth Day with a renewed pledge to reinvigorate the UK's relationship with the Commonwealth.,"=HYPERLINK(""https://www.gov.uk/government/news/commonwealth-contribution-to-first-world-war-to-be-commemorated"",""more details"")"
Security and prosperity: article by David Cameron and Barack Obama, 15 January 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/security-and-prosperity-article-by-david-cameron-and-barack-obama"",""more details"")"
An end to poverty: Justine Greening's speech to the China International Development Research Network, 25 April 2014 ,"Changing lives, delivering results: our plans to help the world's poorest people.","=HYPERLINK(""https://www.gov.uk/government/speeches/an-end-to-poverty-justine-greenings-speech-to-the-china-international-development-research-network"",""more details"")"
PM and Vice President Michel Temer of Brazil joint statment on maternal and child undernutrition, 12 August 2012 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/pm-and-vice-president-michel-temer-of-brazil-joint-statment-on-maternal-and-child-undernutrition"",""more details"")"
UK Export Finance: business supported 2015–16, 11 July 2016 ,"Britain will help to foster a revolution in private investment into projects to improve the health, education and future chances of more than five million people across Africa and Asia.","=HYPERLINK(""https://www.gov.uk/government/publications/uk-export-finance-business-supported-2015-16"",""more details"")"
Global index set to boost energy investment in developing world, 22 November 2013 ,Information on how UK businesses can control risks when operating in Cameroon.,"=HYPERLINK(""https://www.gov.uk/government/news/global-index-set-to-boost-energy-investment-in-developing-world"",""more details"")"
Header,Date,Description,Link
GCC Economics Summary: April to May, 19 June 2014 ,Latest economic and trade news from across the Gulf.,"=HYPERLINK(""https://www.gov.uk/government/publications/gcc-economics-summary-april-may-2014"",""more details"")"
MOD: single departmental plan 2015 to 2020, 29 July 2016 ,Our single departmental plan describes the Ministry of Defence's (MOD) priority objectives for 2015 to 2020.,"=HYPERLINK(""https://www.gov.uk/government/publications/mod-single-departmental-plan-2015-to-2020"",""more details"")"
Health Protection Report volume 8 (2014), 23 December 2014 ,A weekly digest of health protection related news and surveillance reports from Public Health England. ,"=HYPERLINK(""https://www.gov.uk/government/publications/health-protection-report-volume-8-2014"",""more details"")"
Stephen O'Brien: On the role of boys and men in improving gender equality, 13 October 2011 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/stephen-obrien-on-the-role-of-boys-and-men-in-improving-gender-equality"",""more details"")"
"""The UN has a large arsenal of capabilities to detect risks of genocide and the means to pre-empt mass atrocities""", 21 January 2015 ,"Stephen O'Brien's speech at the launch of Plan UK's State of the World's Girls report, looking at the inclusion of boys and men in gender work.","=HYPERLINK(""https://www.gov.uk/government/speeches/the-un-has-a-large-arsenal-of-capabilities-to-detect-risks-of-genocide-and-the-means-to-pre-empt-mass-atrocities"",""more details"")"
The future of cyberspace: a global challenge, 18 October 2011 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/the-future-of-cyberspace-a-global-challenge"",""more details"")"
CMA ICPEN presidency report 2015 to 2016, 30 June 2016 ,"Statement by Ambassador Lyall Grant of the UK Mission to the UN, at the UN Special event to mark the 70th anniversary of the liberation of the German Nazi extermination camp in Auschwitz-Birkenau","=HYPERLINK(""https://www.gov.uk/government/publications/cma-icpen-presidency-report-2015-to-2016"",""more details"")"
Address to 2014 International Business Women's Conference, 14 May 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/address-to-2014-international-business-womens-conference"",""more details"")"
Speech by Justine Greening to NIDOS #Scotland2015 conference,  3 April 2014 ,"Ahead of the London Conference on Cyberspace, Foreign Secretary William Hague talks about the social and economic benefits of the internet, and the need to ensure a safe and secure cyberspace for the future.","=HYPERLINK(""https://www.gov.uk/government/speeches/speech-to-nidos-network-of-international-development-organisations-in-scotland"",""more details"")"
Points of Light: September 2014 winners, 30 September 2014 ,A report on the work undertaken during the CMA's presidency of ICPEN.,"=HYPERLINK(""https://www.gov.uk/government/news/points-of-light-september-2014-winners"",""more details"")"
"Sovereign’s Parade, Royal Military Academy", 15 December 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/sovereigns-parade-royal-military-academy"",""more details"")"
Minister for Africa’s speech on UK’s Africa Policy, 23 March 2015 ,Villers discusses improved economic opportunities for women and the progress made addressing gender imbalances in business and public life,"=HYPERLINK(""https://www.gov.uk/government/speeches/minister-for-africas-speech-on-uks-africa-policy"",""more details"")"
Speech by the British High Commissioner James Thornton at the Shaping our Future Conference,  6 March 2014 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/world-location-news/speech-by-the-british-high-commissioner-james-thornton-at-the-shaping-our-future-conference"",""more details"")"
Forced marriage to become criminal offence,  8 June 2012 ,"International Development Secretary sets out post 2015 agenda and why Scotland can be proud of the immense contribution made with, and through, DFID.","=HYPERLINK(""https://www.gov.uk/government/news/forced-marriage-to-become-criminal-offence"",""more details"")"
A turning point for Africa?, 22 March 2011 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/a-turning-point-for-africa"",""more details"")"
Minister for Africa speaks on growth and progress on trade integration, 22 June 2011 ,The Points of Light award recognises outstanding individuals - people who are making a change in their community and inspiring others.,"=HYPERLINK(""https://www.gov.uk/government/speeches/minister-for-africa-speaks-on-growth-and-progress-on-trade-integration"",""more details"")"
"""The Protection of Civilians is at the heart of everything we strive to achieve at the Security Council""", 30 January 2015 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/speeches/the-protection-of-civilians-is-at-the-heart-of-everything-we-strive-to-achieve-at-the-security-council"",""more details"")"
"Immigration statistics, October to December 2014", 26 February 2015 ,"Speech by Michael Fallon, Secretary of State for Defence.","=HYPERLINK(""https://www.gov.uk/government/statistics/immigration-statistics-october-to-december-2014"",""more details"")"
Britain to join tech giants to drive down Internet prices in developing countries,  7 October 2013 ,"
                  First published during the 2010 to 2015 Conservative and Liberal Democrat coalition government
                ","=HYPERLINK(""https://www.gov.uk/government/news/britain-to-join-tech-giants-to-drive-down-internet-prices-in-developing-countries"",""more details"")"
Justine Greening: Global Law Summit, 26 February 2015 ,How much does Africa matter? Defining the UK’s Africa Policy under the Coalition Government.,"=HYPERLINK(""https://www.gov.uk/government/speeches/justine-greening-global-law-summit"",""more details"")"
Header,Date,Description,Link
