Header,Date,Description,Link
Philip Tissot,none,"Arthur Snell was born in the south-east of England and educated at Oxford University, where he studied History. After graduating with First Class Honours he joined the Foreign and Commonwealth office. After an initial spell on the Iraq desk in London, Arthur was appointed Second…","=HYPERLINK(""https://www.gov.uk/government/people/philip-tissot"",""more details"")"
Teacher motivation and incentives in Nigeria,  1 January 2005 ,"…), British Consulate-General, Toronto, Canada 1986-1988: Desk Officer Aid for Trade, Aid Policy Department, Overseas Development Administration., London 1983-1986: Accountant and later Vice-Consul British High Commission, Lagos, Nigeria 1981-1983: Africa and Middle East Floater (short…","=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/teacher-motivation-and-incentives-in-nigeria"",""more details"")"
"Ethnic Structure, Inequality and Governance of the Public Sector in Nigeria.",  1 January 2005 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/ethnic-structure-inequality-and-governance-of-the-public-sector-in-nigeria"",""more details"")"
Joint Information Activities Group (JIAG),none,,"=HYPERLINK(""https://www.gov.uk/guidance/the-defence-media-operations-centre-dmoc"",""more details"")"
Helpdesk Report: Higher Education Reform,  1 January 2014 ,"The JIAG provides specialist Information activities training, operational delivery capability and capacity building for defence, and other government departments.","=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/helpdesk-report-higher-education-reform"",""more details"")"
"Religion, Politics and Governance in Nigeria",  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/religion-politics-and-governance-in-nigeria"",""more details"")"
Helpdesk Report: Reproductive Health Commodity Security Country Case study: Nigeria,  1 January 2005 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/helpdesk-report-reproductive-health-commodity-security-country-case-study-nigeria"",""more details"")"
Multidimensional Poverty in Nigeria: First Order Dominance Approach,  1 January 2014 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/multidimensional-poverty-in-nigeria-first-order-dominance-approach"",""more details"")"
Planning and managing meaningful access to education: the Nigerian experience.,  1 January 2010 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/planning-and-managing-meaningful-access-to-education-the-nigerian-experience"",""more details"")"
Gender Equity in Commonwealth Higher Education: An Examination of Sustainable Interventions in Selected Commonwealth Universities. Researching the Issues 65,  1 January 2006 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/gender-equity-in-commonwealth-higher-education-an-examination-of-sustainable-interventions-in-selected-commonwealth-universities-researching-the-issues-65"",""more details"")"
