Header,Date,Link
Sex education equals value for money,03.06.11,"=HYPERLINK(""http://www.unesco.org/new/en/education/resources/online-materials/single-view/news/sex_education_equals_value_for_money/"",""more details"")"
Nigeria and UNESCO launch $6 million national literacy programme,06.05.11,"=HYPERLINK(""http://www.unesco.org/new/en/education/resources/online-materials/single-view/news/nigeria_and_unesco_launch_6_million_national_literacy_programme/"",""more details"")"
School-based sexuality education: UNESCO releases new data on cost and cost- effectiveness of sexuality education programmes,27.04.11,"=HYPERLINK(""http://www.unesco.org/new/en/education/resources/online-materials/single-view/news/school_based_sexuality_education_unesco_releases_new_data_on_cost_and_cost_effectiveness_of_sexuality_education_programmes/"",""more details"")"
International symposium in New York to focus on sexuality education,20.04.11,"=HYPERLINK(""http://www.unesco.org/new/en/education/resources/online-materials/single-view/news/international_symposium_in_new_york_to_focus_on_sexuality_education/"",""more details"")"
Round table to celebrate UN South-South cooperation day ,15.12.09,"=HYPERLINK(""http://www.unesco.org/new/en/education/resources/online-materials/single-view/news/round_table_to_celebrate_un_south_south_cooperation_day/"",""more details"")"
Header,Description,Link
Improving productivity and increasing agriculture-related income requires creative solutions - Opia Kumah,The importance of cassava has grown beyond its essence as a staple and food security crop. Cassava is now recognized as an essential industrial crop. It is now recognized as an essential raw material for large scale manufacturing. ,"=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/09/06/statement-by-opia-mensah-kumah-resident-representative-a-i-at-the-first-asdp-cassava-value-chain-roundtable-meeting-lagos"",""more details"")"
UNDP to fully support quick roll out of the SDGs across all States - Pa Lamin Beyai ,"As the lead UN agency mandated to eradicate poverty globally, at UNDP we will continue with our central role in supporting the government to achieve its long term development aspirations. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/08/30/undp-will-fully-support-implementation-of-programmes-of-action-for-the-quick-roll-out-of-the-sdgs-across-all-states-pa-lamin-beyai-"",""more details"")"
"Stakeholder engagement key for resource management, sustainable development - Mandisa","We would like to commend the Federal Government of Nigeria and most importantly the pioneering efforts from Cross River State, on the achievements attained so far since the REDD+ Programme started in Nigeria in 2012. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/08/16/undp-statement-at-the-validation-workshop-on-integrated-analyses-for-a-redd-strategy-in-nigeria"",""more details"")"
"Japan supports social cohesion, de-radicalization initiatives in North East","Issues of livelihood support and social cohesion are critical to recovery and stabilization in the North-East. As you may be aware, over 2 million people have been internally displaced and critical infrastructure like schools, hospitals, security posts, roads, water and electricity supply facilities have been destroyed. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/08/15/japanese-funded-projects-to-promote-social-cohesion-address-de-radicalization-counter-terrorism-and-migration-launched"",""more details"")"
