"
The Lagos Eko Secondary Education Sector Project : Tailoring International Best Practices to Improve Educational Outcomes at the State Level
","Mar, 2016","This case study seeks to understand how
            the Lagos Eko Secondary Education Project (Eko Project)
            tailored international best practices to leverage impact
            through  ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/24414"",""more details"")"
"
Open Government Initiative in Edo State : Fostering an Ecosystem of Collaboration and Transparency
","May, 2014","This note is intended to briefly
            describe the World Bank's experience supporting the
            development and implementation of an open government
            initiative in Nigeria's Ed ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/18713"",""more details"")"
"
16 Things You Didn't Know About Africa
","Apr, 2011","The largest population in Sub-Saharan Africa (SSA) is 151.3 million in NIGERIA. The smallest is 0.1 million (100,000) in Seychelles....","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/6094"",""more details"")"
"
When Does Rigorous Impact Evaluation Make a Difference? The Case of the Millennium Villages
","Nov 01, 2010"," on the
            evaluation method. Comparing trends at the MVP intervention
            sites in Kenya, Ghana, and Nigeria to trends in the
            surrounding areas yields much more modest es ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/3959"",""more details"")"
"
The Power of Public Discourse
","Sep, 2011","The concept of open development presupposes a greatly increased supply of information available to citizens on the issues, products, and services that shape their lives. It means that governments shou ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/6115"",""more details"")"
"
South-South Knowledge Exchange as a Tool for Capacity Development
","Oct, 2010","South-South Cooperation (SSC) has been gaining momentum as an effective mode of development assistance, complementing the more traditional North-South approach. The Accra Agenda for Action (AAA), agre ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/6079"",""more details"")"
"
Mobile Technology : One Core Lesson, Many Possible Solutions
","Jul, 2010","Over half of people in poor countries, including a quarter of those over the age of 14 in Afghanistan, use mobile phones....","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/6066"",""more details"")"
"
﻿Adapting To Climate Change In Africa
","Apr 01, 2008","Discusses the Climate Change Adaptation in Africa program, which aims to establish a self-sustained African body of expertise on adaptation through capacity development and strengthening institutions....","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/4535"",""more details"")"
"
Gender Equity in Junior and Senior Secondary Education in Sub-Saharan Africa
",2008,"This thematic study is about gender
            equity in junior and senior secondary education in
            Sub-Saharan Africa (SSA). It consists of case studies of
            Ghana, Malawi, an ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/6500"",""more details"")"
"
Interview with Steven Livingston on Information Systems and Development
","Sep, 2011","An Interview with Steven Livingston, Professor of Media and Public Affairs and International Affairs. His research and teaching focus on media, information technology, national security and global pol ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/6116"",""more details"")"
Header,Date,Description,Link
"
Gender Issues in Participation
","Jun, 1995","The full participation of both men and
            women in policymaking, in economic and sectoral analysis,
            and in project design and management, may be impeded by
            cultural ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/11670"",""more details"")"
